"","Statistic","P.value"
"CDH1",0.943787395954132,0.432385206222534
"ROS1",0.929246604442596,0.26588436961174
"FGFR2",0.97132420539856,0.877160489559174
"FGFR1",0.942943632602692,0.420829772949219
"KEAP1",0.952904164791107,0.57129567861557
"MET",0.916469275951386,0.170131474733353
"VEGFA",0.949290037155151,0.513339042663574
"NFE2L2",0.8942431807518,0.0777666121721268
"STK11",0.927777409553528,0.252719402313232
"PIK3CA",0.777746319770813,0.00193174078594893
"SMO",0.941330194473267,0.399391829967499
"KRAS",0.932545840740204,0.29775607585907
"TP53",0.934719443321228,0.320577472448349
"EGFR",0.979141533374786,0.963306784629822
"CDKN2A",0.947872042655945,0.49158188700676
"NOTCH1",0.966717660427094,0.806829214096069
"BRAF",0.97701907157898,0.94506311416626
"DDR2",0.896209001541138,0.0833098590373993
"RET",0.96859622001648,0.83674693107605
"MAP2K1",0.962680160999298,0.73885589838028
"CDH2",0.954265594482422,0.593939304351807
"ALK",0.930192589759827,0.274691045284271
"PTEN",0.793980717658997,0.0030805179849267
"CDH5",0.930438220500946,0.277020663022995
"PTCH1",0.80418598651886,0.00416238559409976
"NF1",0.874169588088989,0.0388678796589375
"NRAS",0.920264959335327,0.194435134530067
